บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ
,ต-OUTSOURCE - ขับรถ,,,,51601701,,,,,,,,,199990000,,,,,"145,590.18",,,,,
,ต-OUTSOURCE - ขับรถ,,,,51601701,,,,,,,,,,,,,,"145,590.18",,,,,
,ต-จ้างOUTSOURCE-ติดตั้ง/ตรวจซ่อม/ศูนย์ซ่อม(ลูกค้า),,,,51601702,,,,,,,,,199990000,,,,,"21,778,903.16",,,,,
,ต-จ้างOUTSOURCE-ติดตั้ง/ตรวจซ่อม/ศูนย์ซ่อม(ลูกค้า),,,,51601702,,,,,,,,,,,,,,"21,778,903.16",,,,,
,ต-ค่าจ้าง OUTSOURCE-บริการสำนักงาน,,,,51601706,,,,,,,,,199990000,,,,,"918,570.00",,,,,
,ต-ค่าจ้าง OUTSOURCE-บริการสำนักงาน,,,,51601706,,,,,,,,,,,,,,"918,570.00",,,,,
09.04.2024,ต-ค่าจ้าง OUTSOURCE-ช่างสำนักงาน,3,,EFAD0604,51601707,,6700000042,31.03.2024,31.03.2024,BA,1C10400,1C10405,1C10405J0101,199990000,,19201,,0,"2,940.19",VX,ปป.ค่าใช้จ่ายAct. J0101  มี.ค. 67,,,
,ต-ค่าจ้าง OUTSOURCE-ช่างสำนักงาน,,,,51601707,,,,,,,,,199990000,,,,,"907,867.13",,,,,
,ต-ค่าจ้าง OUTSOURCE-ช่างสำนักงาน,,,,51601707,,,,,,,,,,,,,,"907,867.13",,,,,
04.04.2024,ต-ค่าจ้าง OUTSOURCE - เฉพาะกิจ,3,,EITSAD04,51601709,,8100003153,31.03.2024,31.03.2024,WE,1D30200,1D30201,,104110001,,10411,,,"196,960.00",,,,,7001383
,ต-ค่าจ้าง OUTSOURCE - เฉพาะกิจ,,,,51601709,,,,,,,,,104110001,,,,,"196,960.00",,,,,
,ต-ค่าจ้าง OUTSOURCE - เฉพาะกิจ,,,,51601709,,,,,,,,,199990000,,,,,"72,343.53",,,,,
,ต-ค่าจ้าง OUTSOURCE - เฉพาะกิจ,,,,51601709,,,,,,,,,,,,,,"269,303.53",,,,,
