COST_CENTER,COST_CENTER_DEPARTMENT,COST_CENTER_NT2,PROVINCE,PROVINCE (THAI),ZIPCODE,กลุ่มงาน,ส่วน,ฝ่าย,สายงาน,อักษรย่อส่วน,อักษรย่อฝ่าย,COST_CENTER_NT1.5,ส่วน 1.5,สายงาน 1.5,กลุ่มงาน 1.5,ฝ่าย 1.5,อักษรย่อฝ่าย 1.5,หมายเหตุ
1A00000,1A00000,T0000,Bangkok,กรุงเทพมหานคร,10210,สายงานตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,รจญ.ว.,ว.,1A00000,สายงานตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,ว.,
2A00001,1A00000,T0000,Bangkok,กรุงเทพมหานคร,10210,สายงานตรวจสอบ,ส่วนวางแผนและพัฒนาการตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,ผบว.,ว.,2A00001,ส่วนวางแผนและพัฒนาการตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,ว.,
2A10000,2A10000,T0004,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,กลุ่มตรวจสอบ,กลุ่มตรวจสอบ,สายงานตรวจสอบ,ชจญ.ว.,ว.,2A10000,กลุ่มตรวจสอบ,สายงานตรวจสอบ,กลุ่มตรวจสอบ,กลุ่มตรวจสอบ,ว.,
2A10100,2A10100,TA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการหลัก,ฝ่ายตรวจสอบกระบวนการหลัก,สายงานตรวจสอบ,บว.,บว.,2A10100,ฝ่ายตรวจสอบกระบวนการหลัก,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการหลัก,บว.,
2A10101,2A10100,TA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบกระบวนการหลักที่ 1,ฝ่ายตรวจสอบกระบวนการหลัก,สายงานตรวจสอบ,สบว.1,บว.,2A10101,ส่วนตรวจสอบกระบวนการหลักที่ 1,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการหลัก,บว.,
2A10102,2A10100,TA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบกระบวนการหลักที่ 2,ฝ่ายตรวจสอบกระบวนการหลัก,สายงานตรวจสอบ,สบว.2,บว.,2A10102,ส่วนตรวจสอบกระบวนการหลักที่ 2,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการหลัก,บว.,
2A10103,2A10100,TA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบกระบวนการหลักที่ 3,ฝ่ายตรวจสอบกระบวนการหลัก,สายงานตรวจสอบ,สบว.3,บว.,2A10103,ส่วนตรวจสอบกระบวนการหลักที่ 3,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการหลัก,บว.,
2A10200,2A10200,TC000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการสนับสนุน,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สายงานตรวจสอบ,สว.,สว.,2A10200,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สว.,
2A10201,2A10200,TC000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบกระบวนการสนับสนุนที่ 1,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สายงานตรวจสอบ,สสว.1,สว.,2A10201,ส่วนตรวจสอบกระบวนการสนับสนุนที่ 1,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สว.,
2A10202,2A10200,TC000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบกระบวนการสนับสนุนที่ 2,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สายงานตรวจสอบ,สสว.2,สว.,2A10202,ส่วนตรวจสอบกระบวนการสนับสนุนที่ 2,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สว.,
