บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ,เงื่อนไข1,เงื่อนไข2
26.03.2024,ต-ค่าเบี้ยประกันภัย-อาคารและสิ่งปลูกสร้าง,3,,EPAMAD01,51663101,3900001400,3300005958,01.03.2024,28.11.2023,KR,1C10300,1C10302,1C10302E5026,199990000,,19202,,0,"587,159.50",D7,14016-299-230004783 16ตค.66-31มีค.67,,,,บันทึกเข้า เซกเมนต์ 19202,
26.03.2024,ต-ค่าเบี้ยประกันภัย-อาคารและสิ่งปลูกสร้าง,3,,EPAMAD01,51663101,3300005958,3900001400,01.03.2024,28.11.2023,KZ,1C10300,1C10302,1C10302E5026,199990000,,19202,,0,"-587,159.50",D7,14016-299-230004783 16ตค.66-31มีค.67,,,,บันทึกเข้า เซกเมนต์ 19202,
26.03.2024,ต-ค่าเบี้ยประกันภัย-อุปกรณ์โทรคมนาคม,3,,EPAMAD01,51663102,,3300005991,01.03.2024,28.11.2023,KR,1C10300,1C10302,1C10302E5026,199990000,,19202,,0,"587,159.50",D7,14016-299-230004783 16ตค.66-31มีค.67,,,,บันทึกเข้า เซกเมนต์ 19202,
09.04.2024,ต-ค่าเบี้ยประกันภัย-อุปกรณ์โทรคมนาคม,4,,EPAMAD01,51663102,,6200000261,01.04.2024,28.11.2023,SB,1C10300,1C10302,1C10302E5026,199990000,,19202,,0,"-587,159.50",D7,ปรับปรุง JV3300005991/2024,,,,บันทึกเข้า เซกเมนต์ 19202,
19.04.2024,ค่าใช้จ่ายดำเนินงานอื่น-อื่น,4,,ECSRCS13,53691999,3900001703,3320004565,01.04.2024,01.04.2024,KQ,2R20106,2R20106,2R20106N0426,199990000,,19202,,407,"1,600.00",VX,,,,,บันทึกเข้า เซกเมนต์ 19202,
22.04.2024,ค่าใช้จ่ายดำเนินงานอื่น-อื่น,4,,ECSRCS13,53691999,3320004565,3900001703,01.04.2024,01.04.2024,KZ,2R20106,2R20106,2R20106N0426,199990000,,19202,,407,"-1,600.00",VX,,,,,บันทึกเข้า เซกเมนต์ 19202,
22.03.2024,บ-หนี้สงสัยจะสูญ-ลูกหนี้อื่น,3,,ERPA0502,54624198,1900001438,1410000746,31.03.2024,31.03.2024,DB,1C10300,1C10300,,192020001,,19202,,0,"72,000.00",,นปท.ตั้งค่าเผื่อฯ-ลน.ค่าเช่าฯ มี.ค.67 novat,,,,บันทึกเข้า เซกเมนต์ 19202,
22.03.2024,บ-หนี้สงสัยจะสูญ-ลูกหนี้อื่น,3,,ERPA0502,54624198,1900001440,1410000748,31.03.2024,31.03.2024,DB,1C10300,1C10300,,192020001,,19202,,0,"1,839.93",,นปท.ตั้งค่าเผื่อฯ ลน.อื่น มี.ค.67,,,,บันทึกเข้า เซกเมนต์ 19202,
22.03.2024,บ-หนี้สงสัยจะสูญ-ลูกหนี้อื่น,3,,ERPA0502,54624198,1410000411,1900001061,31.03.2024,29.02.2024,DZ,1C10300,1C10300,,192020001,,19202,,0,"-72,000.00",,นปท.ตั้งค่าเผื่อฯ-ลน.ค่าเช่าฯ ก.พ.67 novat,,,,บันทึกเข้า เซกเมนต์ 19202,
22.03.2024,บ-หนี้สงสัยจะสูญ-ลูกหนี้อื่น,3,,ERPA0502,54624198,1410000721,1900001063,31.03.2024,29.02.2024,DZ,1C10300,1C10300,,192020001,,19202,,0,"-1,839.93",,นปท.ตั้งค่าเผื่อฯ ลน.อื่น ก.พ.67,,,,บันทึกเข้า เซกเมนต์ 19202,
