บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ
29.03.2024,ข-ค่ารักษาพยาบาล-พนักงาน,3,,EFAD0601,53602104,6410004732,6410004629,31.03.2024,31.03.2024,SC,1P10200,1P10202,1P10202N0301,199990000,,19201,,0,"100,000.00",,ปมก.คจ.มี.ค.67,,,
01.04.2024,ข-ค่ารักษาพยาบาล-พนักงาน,4,,EFAD0402,53602104,6410004629,6410004732,01.04.2024,31.03.2024,SC,1P10200,1P10202,1P10202N0301,199990000,,19201,,0,"-100,000.00",,ปมก.คจ.มี.ค.67,,,
24.04.2024,ข-ค่ารักษาพยาบาล-พนักงาน,4,,HLSMK01,53602104,3900001853,3300007837,24.04.2024,02.04.2024,KR,1P10200,1P10202,1P10202N0301,199990000,,19201,,0,"12,249.50",VX, 356521 ตนเอง ปมก.6410004629,,,
26.04.2024,ข-ค่ารักษาพยาบาล-พนักงาน,4,,HLSMK01,53602104,3300007837,3900001853,24.04.2024,02.04.2024,KZ,1P10200,1P10202,1P10202N0301,199990000,,19201,,0,"-12,249.50",VX, 356521 ตนเอง ปมก.6410004629,,,
03.04.2024,ข-ค่าวัสดุสิ้นเปลือง-จัดหาเอง,3,,EMADAD02,53662101,,6200000245,15.03.2024,15.03.2024,SB,1D30300,1D30303,1D30303N0301,199990000,,19201,,0,"-5,719.50",V7,,,,
20.03.2024,ข-ค่าวัสดุสิ้นเปลือง-จัดหาเอง,3,,EITSAD01,53662101,,6200000201,19.03.2024,19.03.2024,SB,1D30300,1D30303,1D30303N0301,199990000,,19201,,,"-19,980.00",V7,ปป.รหัสบัญชี 8100002260/2024,,,
19.03.2024,ข-ค่าวัสดุสิ้นเปลือง-จัดหาเอง,3,,EMADAD02,53662101,,8100002260,19.03.2024,19.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,"7,080.00",,,,,7000529
19.03.2024,ข-ค่าวัสดุสิ้นเปลือง-จัดหาเอง,3,,EMADAD02,53662101,,8100002260,19.03.2024,19.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,"4,300.00",,,,,7000529
19.03.2024,ข-ค่าวัสดุสิ้นเปลือง-จัดหาเอง,3,,EMADAD02,53662101,,8100002260,19.03.2024,19.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,"4,300.00",,,,,7000529
19.03.2024,ข-ค่าวัสดุสิ้นเปลือง-จัดหาเอง,3,,EMADAD02,53662101,,8100002260,19.03.2024,19.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,"4,300.00",,,,,7000529
20.03.2024,ข-ค่าวัสดุสิ้นเปลือง-จัดหาเอง,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,120,,,,,7000716
20.03.2024,ข-ค่าวัสดุสิ้นเปลือง-จัดหาเอง,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,56,,,,,7000718
