G/L (regex),NOTES,ACTIVITY (regex)
^516017\d\d$,"บันทึกรหัสกระบวนการทางธุรกิจ (กิจกรรม R, N, E)",^(?![RNE]).*$
^536017\d\d$,บันทึกรหัสกระบวนการทางธุรกิจ (N),^(?!N).*$
^546017\d\d$,บันทึกรหัสกระบวนการทางธุรกิจ (N),^(?!N).*$
^5\d642108$,"บันทึกรหัสกระบวนการทางธุรกิจ (กิจกรรม E, N)",^(?![EN]).*$
^5\d642112$,"บันทึกรหัสกระบวนการทางธุรกิจ (กิจกรรม E, J)",^(?![EJ]).*$
^(?!51\d\d\d\d\d\d).*$,N0301 รหัสบัญชี 51XXXXXX เท่านั้น,^N0301$
^(?!54\d\d\d\d\d\d).*$,N0104 รหัสบัญชี 54XXXXXX เท่านั้น,^N0104$
^(?!54\d\d\d\d\d\d).*$,N0105 รหัสบัญชี 54XXXXXX เท่านั้น,^N0105$
^5\d641\d\d\d$,บันทึกรหัสกระบวนการทางธุรกิจ (กิจกรรม J),^(?!J).*$
[0-9],N0203 ยกเลิกห้ามบันทึก,^N0203$
[0-9],N0203 ยกเลิกห้ามบันทึก,^N0204$
